A,B,TOTAL_VOL,SOV_GU_VOL,SOV_MLF_VOL,SOV_MLT_VOL,HOV_GU_VOL,HOV_MLF_VOL,HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,CSPD,VC_RATIO,TOLL,TIME
  211,  220,      1142,         0,              2,           1139,         0,         0,              0,              0,         0,     69.97,      0.28,      0.35,       1.006876
  217,  219,      3759,      3653,             94,             13,         0,         0,              0,              0,         0,     64.97,      0.47,         0,       0.496973
  218,  216,      4019,      3824,            152,             43,         0,         0,              0,              0,         0,     64.97,      0.50,         0,       0.316274
  221,  215,      1337,         0,              0,           1337,         0,         0,              0,              0,         0,     69.96,      0.33,      0.35,       0.859968
  257,  275,      1240,         0,              0,           1240,         0,         0,              0,              0,         0,     69.97,      0.30,      0.35,       2.968278
  264,  271,      4204,      3946,             87,            172,         0,         0,              0,              0,         0,     64.88,      0.71,         0,       1.504301
  269,  265,      4617,      4370,            143,            104,         0,         0,              0,              0,         0,     64.80,      0.78,         0,       1.053190
  274,  258,      1120,         0,              0,           1120,         0,         0,              0,              0,         0,     69.97,      0.27,      0.35,       2.208383
  279,  301,      1240,         0,              0,           1240,         0,         0,              0,              0,         0,     69.97,      0.30,         0,       0.467358
  284,  305,      5358,      4839,            195,            324,         0,         0,              0,              0,         0,     64.93,      0.66,         0,       0.293957
  287,  283,      5529,      5244,            187,             98,         0,         0,              0,              0,         0,     64.92,      0.69,         0,       0.293890
  291,  290,      5727,      5268,            258,            202,         0,         0,              0,              0,         0,     64.97,      0.56,         0,       0.080660
  296,  280,      2108,         0,              2,           2106,         0,         0,              0,              0,         0,     69.92,      0.51,      0.35,       0.557491
  298,  299,      1947,         0,              1,           1946,         0,         0,              0,              0,         0,     69.94,      0.47,      0.35,       0.025176
  302,  571,      1840,         0,              0,           1840,         0,         0,              0,              0,         0,     69.94,      0.45,         0,       0.879644
  307,  309,      7325,      6012,            286,           1027,         0,         0,              0,              0,         0,     64.92,      0.72,         0,       1.165594
  323,  333,      2637,      2392,             77,            169,         0,         0,              0,              0,         0,     59.85,      0.70,         0,       0.245212
  324,  331,       702,         0,              0,            702,         0,         0,              0,              0,         0,     69.98,      0.19,         0,       0.226956
  327,  345,      2561,         0,              0,           2561,         0,         0,              0,              0,         0,     59.89,      0.66,      0.36,       1.298978
  329,  325,      2159,         0,              1,           2158,         0,         0,              0,              0,         0,     69.89,      0.58,      0.18,       0.063017
  332,  322,      3677,      3594,             20,             63,         0,         0,              0,              0,         0,     31.87,      0.97,         0,       0.525081
  341,  347,      5918,      5415,            285,            218,         0,         0,              0,              0,         0,     30.34,      0.97,         0,       0.527948
  343,  328,      1542,         0,              0,           1542,         0,         0,              0,              0,         0,     59.96,      0.40,         0,       1.260545
  347,  355,      6962,      6341,            398,            222,         0,         0,              0,              0,         0,     49.68,      0.91,         0,       0.386237
  348,  376,       589,         0,              0,            589,         0,         0,              0,              0,         0,     69.98,      0.14,         0,       1.569860
  350,  338,      5425,      4723,            170,            532,         0,         0,              0,              0,         0,     47.88,      0.91,         0,       0.735619
  351,  356,      2690,      2351,            116,            223,         0,         0,              0,              0,         0,     64.97,      0.45,         0,       0.074398
  354,  379,      2601,         0,              0,           2601,         0,         0,              0,              0,         0,     59.88,      0.67,         0,       2.867829
  357,  352,      4355,      3743,            161,            452,         0,         0,              0,              0,         0,     64.86,      0.73,         0,       0.184500
  359,  350,      7254,      6281,            328,            645,         0,         0,              0,              0,         0,     13.02,      1.19,         0,       2.875239
  371,  353,      1507,         0,              0,           1507,         0,         0,              0,              0,         0,     59.97,      0.39,      0.35,       2.068205
  378,  349,      1316,         0,              0,           1316,         0,         0,              0,              0,         0,     69.97,      0.32,      0.18,       1.562450
  405,  414,      6504,      6239,            225,             39,         0,         0,              0,              0,         0,     19.17,      1.07,         0,       2.794324
  408,  412,      2783,         0,            165,           2618,         0,         0,              0,              0,         0,     59.84,      0.71,      0.38,       0.760336
  411,  400,      6569,      6306,            245,             18,         0,         0,              0,              0,         0,     18.41,      1.08,         0,       2.311897
  413,  406,      2204,         0,             16,           2189,         0,         0,              0,              0,         0,     59.93,      0.57,      0.35,       0.795972
  552,  555,      2810,      2508,            266,             36,         0,         0,              0,              0,         0,     59.97,      0.47,         0,       3.149763
  556,  536,      4138,      3712,            345,             82,         0,         0,              0,              0,         0,     59.91,      0.69,         0,       3.894256
  557,  559,       439,         0,              0,            439,         0,         0,              0,              0,         0,     69.95,      0.24,         0,       3.088676
  560,  558,       994,         0,              0,            994,         0,         0,              0,              0,         0,     69.81,      0.54,      0.18,       2.680449
